"Stem_ID","Species_Code","Locality_Code","DAP","X","Y","NCI","fixNCI","scheme"
"1",NA,"BEJ",0,15,10,2844.41191840033,1241.17769998194,"plot"
"2",NA,"BEJ",0,15,30,1803.61802483421,43.9117477996642,"plot"
"3",NA,"BEJ",0,15,50,4049.42658388396,2074.42858173301,"plot"
"4",NA,"BEJ",0,15,70,880.061666999311,816.718392992025,"plot"
"5",NA,"BEJ",0,15,90,2503.71566148218,2392.053819877,"plot"
"6",NA,"BEJ",0,15,110,1573.33926601154,1222.11956935785,"plot"
"7",NA,"BEJ",0,15,130,5072.14988123397,45.5669760692026,"plot"
"8",NA,"BEJ",0,15,150,1052.97781590257,16.5896332689363,"plot"
"9",NA,"BEJ",0,15,170,1976.64557138659,4.03719911821602,"plot"
"10",NA,"BEJ",0,15,190,1570.48718068297,392.085649699273,"plot"
"11",NA,"BEJ",0,35,10,1263.99391009168,83.3372241155924,"plot"
"12",NA,"BEJ",0,35,30,1500.62239086989,442.406822664153,"plot"
"13",NA,"BEJ",0,35,50,1649.69793725648,1133.20161072832,"plot"
"14",NA,"BEJ",0,35,70,2901.70782566713,400.03691168808,"plot"
"15",NA,"BEJ",0,35,90,3173.05635957597,424.497776396943,"plot"
"16",NA,"BEJ",0,35,110,4719.88535541903,97.5639640562382,"plot"
"17",NA,"BEJ",0,35,130,928.522952559258,546.46368073319,"plot"
"18",NA,"BEJ",0,35,150,1915.12591870124,51.3898894017428,"plot"
"19",NA,"BEJ",0,35,170,2386.54728969276,0,"plot"
"20",NA,"BEJ",0,35,190,1082.87897555107,0,"plot"
"1",NA,"JE",0,15,10,1688.07564810306,311.228167571026,"plot"
"2",NA,"JE",0,15,30,1492.0517712457,0,"plot"
"3",NA,"JE",0,15,50,973.717024051786,491.521114230532,"plot"
"4",NA,"JE",0,15,70,1261.96876030711,57.5276926567625,"plot"
"5",NA,"JE",0,15,90,1148.52799875267,81.7682301607833,"plot"
"6",NA,"JE",0,15,110,1220.19855254213,270.137840766319,"plot"
"7",NA,"JE",0,15,130,1824.37313666061,704.839833775645,"plot"
"8",NA,"JE",0,15,150,1173.12893257501,0,"plot"
"9",NA,"JE",0,15,170,616.878727729842,0,"plot"
"10",NA,"JE",0,15,190,412.454613026022,180.553370867835,"plot"
"11",NA,"JE",0,35,10,946.989617056799,0,"plot"
"12",NA,"JE",0,35,30,860.246618856194,143.718697990592,"plot"
"13",NA,"JE",0,35,50,905.460891064573,12.8821851503408,"plot"
"14",NA,"JE",0,35,70,1828.74035073662,155.40673401168,"plot"
"15",NA,"JE",0,35,90,2197.49945478844,458.475988196499,"plot"
"16",NA,"JE",0,35,110,2107.73153164796,1382.11086197092,"plot"
"17",NA,"JE",0,35,130,1241.78253569772,718.460693362253,"plot"
"18",NA,"JE",0,35,150,1304.01473795684,47.1033667038541,"plot"
"19",NA,"JE",0,35,170,2845.74800698307,59.5168697433829,"plot"
"20",NA,"JE",0,35,190,2215.20760777173,43.7603592707344,"plot"
"1",NA,"LEPS",0,15,10,3218.73116336959,179.319751786576,"plot"
"2",NA,"LEPS",0,15,30,2128.60583639721,340.125792910427,"plot"
"3",NA,"LEPS",0,15,50,4091.3419132043,869.137746852112,"plot"
"4",NA,"LEPS",0,15,70,2785.45557195329,226.293983440186,"plot"
"5",NA,"LEPS",0,15,90,2708.74422370692,991.202714331908,"plot"
"6",NA,"LEPS",0,15,110,3183.05424561262,2400.97162067024,"plot"
"7",NA,"LEPS",0,15,130,1426.68481380682,828.06147874655,"plot"
"8",NA,"LEPS",0,15,150,3974.18622626412,380.281670827378,"plot"
"9",NA,"LEPS",0,15,170,1461.66461454903,508.193607496007,"plot"
"10",NA,"LEPS",0,15,190,1333.26107132523,73.6210435747828,"plot"
"11",NA,"LEPS",0,35,10,2010.05380012206,448.2127014454,"plot"
"12",NA,"LEPS",0,35,30,3193.41191567329,2057.74080463715,"plot"
"13",NA,"LEPS",0,35,50,1665.37966890712,281.874145839882,"plot"
"14",NA,"LEPS",0,35,70,1166.5197691382,419.104201945961,"plot"
"15",NA,"LEPS",0,35,90,2302.97114485319,1059.70879929759,"plot"
"16",NA,"LEPS",0,35,110,4155.52615333509,3042.76764008013,"plot"
"17",NA,"LEPS",0,35,130,1584.00151566438,1139.23618801566,"plot"
"18",NA,"LEPS",0,35,150,2327.8121356508,958.132495728547,"plot"
"19",NA,"LEPS",0,35,170,2151.73286116038,125.234873355008,"plot"
"20",NA,"LEPS",0,35,190,2620.64125122917,1433.41119449124,"plot"
"1",NA,"LEPP",0,15,10,3123.24481836177,34.3628639769227,"plot"
"2",NA,"LEPP",0,15,30,2015.38163083276,879.278478328111,"plot"
"3",NA,"LEPP",0,15,50,2026.95670509249,737.853883421021,"plot"
"4",NA,"LEPP",0,15,70,1304.9401425221,418.225392517942,"plot"
"5",NA,"LEPP",0,15,90,3071.54574885751,801.261938973886,"plot"
"6",NA,"LEPP",0,15,110,1565.8169087798,355.903481864473,"plot"
"7",NA,"LEPP",0,15,130,3556.0748909418,3045.71100898598,"plot"
"8",NA,"LEPP",0,15,150,728.575107580386,20.1956659306787,"plot"
"9",NA,"LEPP",0,15,170,1163.63332705087,8.46748670501872,"plot"
"10",NA,"LEPP",0,15,190,1718.57116655501,400.995264575344,"plot"
"11",NA,"LEPP",0,35,10,1626.84812195631,495.562339229023,"plot"
"12",NA,"LEPP",0,35,30,1075.55712765758,29.5447094141173,"plot"
"13",NA,"LEPP",0,35,50,4307.17672787962,2082.78825113898,"plot"
"14",NA,"LEPP",0,35,70,1508.53275013874,442.680372684384,"plot"
"15",NA,"LEPP",0,35,90,3453.85098243191,2033.18304064869,"plot"
"16",NA,"LEPP",0,35,110,1002.46115002593,598.198311652766,"plot"
"17",NA,"LEPP",0,35,130,3671.43286863358,1272.81641983941,"plot"
"18",NA,"LEPP",0,35,150,5424.25824616332,1113.84376447994,"plot"
"19",NA,"LEPP",0,35,170,10105.55557213,1169.92108413688,"plot"
"20",NA,"LEPP",0,35,190,2197.71430902031,370.223329602034,"plot"
"1",NA,"LSUR",0,15,10,1053.92401131844,161.307806393053,"plot"
"2",NA,"LSUR",0,15,30,657.893091447055,78.613391002949,"plot"
"3",NA,"LSUR",0,15,50,1550.90522885427,170.463758460818,"plot"
"4",NA,"LSUR",0,15,70,1823.1001945198,197.029567062736,"plot"
"5",NA,"LSUR",0,15,90,1766.32645481257,1117.31497743891,"plot"
"6",NA,"LSUR",0,15,110,803.388007111285,599.041213060756,"plot"
"7",NA,"LSUR",0,15,130,1343.62618602076,812.93779755023,"plot"
"8",NA,"LSUR",0,15,150,3145.84449717648,540.754523284296,"plot"
"9",NA,"LSUR",0,15,170,2100.87164126068,1357.3101336366,"plot"
"10",NA,"LSUR",0,15,190,1154.39519712918,707.267922303904,"plot"
"11",NA,"LSUR",0,35,10,3357.80041217343,2842.55671223921,"plot"
"12",NA,"LSUR",0,35,30,2657.78027769457,366.98811004849,"plot"
"13",NA,"LSUR",0,35,50,1780.98924409222,337.161682974995,"plot"
"14",NA,"LSUR",0,35,70,4443.32315918132,142.187016622721,"plot"
"15",NA,"LSUR",0,35,90,3373.05310628725,0,"plot"
"16",NA,"LSUR",0,35,110,1580.46179305596,1260.99196117248,"plot"
"17",NA,"LSUR",0,35,130,2293.19335616142,1401.50719776637,"plot"
"18",NA,"LSUR",0,35,150,749.001797066216,429.925335016132,"plot"
"19",NA,"LSUR",0,35,170,1087.73799336113,433.661665774524,"plot"
"20",NA,"LSUR",0,35,190,1329.19616739858,1048.84087463787,"plot"
